,var,n,wt,dev,yval,complexity,ncompete,nsurrogate
603,<leaf>,14,14,5.42857142857,5.57142857143,0.0,0,0
151,<leaf>,9,9,2.0,5.66666666667,0.0,0,0
19,volatile.acidity,119,119,44.218487395,5.38655462185,0.00312488268236,0,0
38,chlorides,51,51,14.0392156863,5.19607843137,0.00135131978131,0,0
76,residual.sugar,44,44,9.18181818182,5.13636363636,0.00135131978131,0,0
152,alcohol,24,24,2.95833333333,4.95833333333,0.000412374107948,0,0
304,<leaf>,10,10,1.6,4.8,0.0,0,0
305,<leaf>,14,14,0.928571428571,5.07142857143,0.0,0,0
153,total.sulfur.dioxide,20,20,4.55,5.35,0.00135131978131,0,0
306,<leaf>,8,8,0.0,5.0,0.0,0,0
307,<leaf>,12,12,2.91666666667,5.58333333333,0.0,0,0
77,<leaf>,7,7,3.71428571429,5.57142857143,0.0,0,0
39,sulphates,68,68,26.9411764706,5.52941176471,0.00312488268236,0,0
78,<leaf>,9,9,0.0,5.0,0.0,0,0
79,citric.acid,59,59,24.0338983051,5.61016949153,0.00312488268236,0,0
158,volatile.acidity,52,52,18.9807692308,5.51923076923,0.00192075924018,0,0
316,fixed.acidity,45,45,17.1111111111,5.44444444444,0.00192075924018,0,0
632,<leaf>,12,12,4.91666666667,5.08333333333,0.0,0,0
633,fixed.acidity,33,33,10.0606060606,5.57575757576,0.00192012018533,0,0
1266,<leaf>,12,12,4.25,5.25,0.0,0,0
1267,total.sulfur.dioxide,21,21,3.80952380952,5.7619047619,0.00103846413485,0,0
2534,<leaf>,11,11,2.72727272727,5.54545454545,0.0,0,0
2535,<leaf>,10,10,0.0,6.0,0.0,0,0
317,<leaf>,7,7,0.0,6.0,0.0,0,0
159,<leaf>,7,7,1.42857142857,6.28571428571,0.0,0,0
5,volatile.acidity,592,592,265.95777027,5.50844594595,0.0192723805006,0,0
10,total.sulfur.dioxide,448,448,175.872767857,5.40401785714,0.00865038494369,0,0
20,alcohol,122,122,25.3852459016,5.17213114754,0.00249146080532,0,0
40,total.sulfur.dioxide,51,51,8.0,5.0,0.0011651567593,0,0
80,<leaf>,9,9,2.0,4.66666666667,0.0,0,0
81,total.sulfur.dioxide,42,42,4.78571428571,5.07142857143,0.000644137678077,0,0
162,chlorides,23,23,0.95652173913,4.95652173913,9.53580979477e-05,0,0
324,<leaf>,7,7,0.857142857143,4.85714285714,0.0,0,0
325,<leaf>,16,16,0.0,5.0,0.0,0,0
163,<leaf>,19,19,3.15789473684,5.21052631579,0.0,0,0
41,residual.sugar,71,71,14.7887323944,5.29577464789,0.00233747307062,0,0
82,<leaf>,16,16,0.0,5.0,0.0,0,0
83,alcohol,55,55,12.9818181818,5.38181818182,0.00233747307062,0,0
166,residual.sugar,48,48,9.91666666667,5.29166666667,0.00104196296016,0,0
332,total.sulfur.dioxide,35,35,5.6,5.2,0.000711189108443,0,0
664,<leaf>,11,11,0.0,5.0,0.0,0,0
665,total.sulfur.dioxide,24,24,4.95833333333,5.29166666667,0.000711189108443,0,0
1330,<leaf>,7,7,0.0,5.0,0.0,0,0
1331,<leaf>,17,17,4.11764705882,5.41176470588,0.0,0,0
333,<leaf>,13,13,3.23076923077,5.53846153846,0.0,0,0
167,<leaf>,7,7,0.0,6.0,0.0,0,0
21,pH,326,326,141.472392638,5.49079754601,0.00747095838752,0,0
42,volatile.acidity,33,33,12.9696969697,5.0303030303,0.0030867946999,0,0
84,<leaf>,7,7,3.71428571429,4.42857142857,0.0,0,0
85,sulphates,26,26,6.03846153846,5.19230769231,0.00132110296047,0,0
170,<leaf>,19,19,2.94736842105,5.05263157895,0.0,0,0
171,<leaf>,7,7,1.71428571429,5.57142857143,0.0,0,0
43,alcohol,293,293,120.716723549,5.54266211604,0.00587829397673,0,0
86,volatile.acidity,165,165,52.1454545455,5.41818181818,0.00295910253414,0,0
172,pH,93,93,27.5698924731,5.30107526882,0.00295910253414,0,0
344,residual.sugar,42,42,11.619047619,5.09523809524,0.00128472360682,0,0
688,total.sulfur.dioxide,26,26,6.96153846154,4.96153846154,0.00128472360682,0,0
1376,<leaf>,7,7,3.71428571429,4.57142857143,0.0,0,0
1377,<leaf>,19,19,1.78947368421,5.10526315789,0.0,0,0
689,<leaf>,16,16,3.4375,5.3125,0.0,0,0
345,residual.sugar,51,51,12.7058823529,5.47058823529,0.00183486431606,0,0
690,fixed.acidity,42,42,9.90476190476,5.38095238095,0.00145946971234,0,0
1380,<leaf>,15,15,1.73333333333,5.13333333333,0.0,0,0
1381,volatile.acidity,27,27,6.74074074074,5.51851851852,0.00145946971234,0,0
2762,<leaf>,10,10,1.6,5.2,0.0,0,0
2763,<leaf>,17,17,3.52941176471,5.70588235294,0.0,0,0
691,<leaf>,9,9,0.888888888889,5.88888888889,0.0,0,0
173,total.sulfur.dioxide,72,72,21.6527777778,5.56944444444,0.0028974783684,0,0
346,density,34,34,9.76470588235,5.35294117647,0.00191948488963,0,0
692,fixed.acidity,20,20,2.55,5.15,0.000431793387269,0,0
1384,<leaf>,10,10,0.0,5.0,0.0,0,0
1385,<leaf>,10,10,2.1,5.3,0.0,0,0
693,<leaf>,14,14,5.21428571429,5.64285714286,0.0,0,0
347,free.sulfur.dioxide,38,38,8.86842105263,5.76315789474,0.00157323217229,0,0
694,<leaf>,8,8,1.875,5.375,0.0,0,0
695,chlorides,30,30,5.46666666667,5.86666666667,0.00157323217229,0,0
1390,<leaf>,7,7,1.71428571429,5.42857142857,0.0,0,0
1391,fixed.acidity,23,23,2.0,6.0,0.000197048569587,0,0
2782,<leaf>,7,7,0.857142857143,5.85714285714,0.0,0,0
2783,<leaf>,16,16,0.9375,6.0625,0.0,0,0
87,citric.acid,128,128,62.71875,5.703125,0.00587829397673,0,0
174,citric.acid,111,111,50.1081081081,5.62162162162,0.00587829397673,0,0
348,<leaf>,9,9,7.55555555556,4.77777777778,0.0,0,0
349,chlorides,102,102,35.5784313725,5.69607843137,0.00322630205928,0,0
698,pH,87,87,28.4827586207,5.62068965517,0.00239181446812,0,0
1396,total.sulfur.dioxide,21,21,6.66666666667,5.33333333333,0.00137780226137,0,0
2792,<leaf>,8,8,0.0,5.0,0.0,0,0
2793,<leaf>,13,13,5.23076923077,5.53846153846,0.0,0,0
1397,citric.acid,66,66,19.5303030303,5.71212121212,0.00239181446812,0,0
2794,free.sulfur.dioxide,36,36,10.8888888889,5.55555555556,0.00239181446812,0,0
5588,<leaf>,15,15,2.4,5.2,0.0,0,0
5589,chlorides,21,21,5.2380952381,5.80952380952,0.00146215750186,0,0
11178,<leaf>,7,7,1.71428571429,5.42857142857,0.0,0,0
11179,<leaf>,14,14,2.0,6.0,0.0,0,0
2795,sulphates,30,30,6.7,5.9,0.00130342600132,0,0
5590,density,23,23,3.91304347826,5.78260869565,0.00121022836028,0,0
11180,<leaf>,7,7,1.71428571429,5.42857142857,0.0,0,0
11181,<leaf>,16,16,0.9375,5.9375,0.0,0,0
5591,<leaf>,7,7,1.42857142857,6.28571428571,0.0,0,0
699,<leaf>,15,15,3.73333333333,6.13333333333,0.0,0,0
175,<leaf>,17,17,7.05882352941,6.23529411765,0.0,0,0
11,sulphates,144,144,70.0,5.83333333333,0.00752636312253,0,0
22,density,41,41,10.1951219512,5.46341463415,0.0019564586367,0,0
44,<leaf>,7,7,0.0,5.0,0.0,0,0
45,density,34,34,8.38235294118,5.55882352941,0.0019564586367,0,0
90,<leaf>,13,13,2.30769230769,5.23076923077,0.0,0,0
91,pH,21,21,3.80952380952,5.7619047619,0.00125654160316,0,0
182,<leaf>,10,10,2.5,5.5,0.0,0,0
183,<leaf>,11,11,0.0,6.0,0.0,0,0
23,alcohol,103,103,51.9611650485,5.98058252427,0.00556814604796,0,0
46,free.sulfur.dioxide,45,45,17.2444444444,5.71111111111,0.00320718608519,0,0
92,<leaf>,8,8,2.875,5.125,0.0,0,0
93,total.sulfur.dioxide,37,37,11.027027027,5.83783783784,0.00272310448147,0,0
186,<leaf>,13,13,3.23076923077,5.46153846154,0.0,0,0
187,residual.sugar,24,24,4.95833333333,6.04166666667,0.00101632041432,0,0
374,<leaf>,7,7,1.42857142857,5.71428571429,0.0,0,0
375,<leaf>,17,17,2.47058823529,6.17647058824,0.0,0,0
47,total.sulfur.dioxide,58,58,28.9137931034,6.18965517241,0.00340697906817,0,0
94,<leaf>,17,17,6.47058823529,5.82352941176,0.0,0,0
95,volatile.acidity,41,41,19.2195121951,6.34146341463,0.00340697906817,0,0
190,<leaf>,10,10,1.6,5.8,0.0,0,0
191,citric.acid,31,31,13.7419354839,6.51612903226,0.00245495433891,0,0
382,volatile.acidity,24,24,9.625,6.375,0.00245495433891,0,0
764,<leaf>,8,8,0.875,5.875,0.0,0,0
765,<leaf>,16,16,5.75,6.625,0.0,0,0
383,<leaf>,7,7,2.0,7.0,0.0,0,0
3,sulphates,616,616,432.271103896,6.06655844156,0.0535886531877,0,0
6,volatile.acidity,272,272,191.867647059,5.72794117647,0.0297432891932,0,0
12,<leaf>,10,10,6.0,4.0,0.0,0,0
13,volatile.acidity,262,262,154.870229008,5.79389312977,0.0151134596818,0,0
26,free.sulfur.dioxide,146,146,73.6712328767,5.57534246575,0.00636256357074,0,0
52,density,48,48,25.4791666667,5.27083333333,0.0033007438295,0,0
104,alcohol,27,27,10.962962963,5.03703703704,0.00326641088167,0,0
208,<leaf>,17,17,5.05882352941,4.76470588235,0.0,0,0
209,<leaf>,10,10,2.5,5.5,0.0,0,0
105,citric.acid,21,21,11.1428571429,5.57142857143,0.0033007438295,0,0
210,<leaf>,11,11,3.63636363636,5.18181818182,0.0,0,0
211,<leaf>,10,10,4.0,6.0,0.0,0,0
53,total.sulfur.dioxide,98,98,41.5612244898,5.72448979592,0.00555024844994,0,0
106,residual.sugar,85,85,33.6941176471,5.63529411765,0.00555024844994,0,0
212,<leaf>,7,7,5.42857142857,4.71428571429,0.0,0,0
213,citric.acid,78,78,21.7948717949,5.71794871795,0.00323326893736,0,0
426,alcohol,32,32,9.96875,5.46875,0.00146929694279,0,0
852,<leaf>,16,16,3.0,5.25,0.0,0,0
853,<leaf>,16,16,5.4375,5.6875,0.0,0,0
427,chlorides,46,46,8.45652173913,5.89130434783,0.00127901104004,0,0
854,total.sulfur.dioxide,39,39,5.74358974359,5.82051282051,0.00127901104004,0,0
1708,<leaf>,10,10,2.5,5.5,0.0,0,0
1709,sulphates,29,29,1.86206896552,5.93103448276,0.000415958599668,0,0
3418,<leaf>,7,7,1.42857142857,5.71428571429,0.0,0,0
3419,<leaf>,22,22,0.0,6.0,0.0,0,0
855,<leaf>,7,7,1.42857142857,6.28571428571,0.0,0,0
107,<leaf>,13,13,2.76923076923,6.30769230769,0.0,0,0
27,alcohol,116,116,65.4482758621,6.06896551724,0.00916036883951,0,0
54,pH,51,51,31.6862745098,5.74509803922,0.00455369436469,0,0
108,sulphates,26,26,14.4615384615,5.46153846154,0.00369054177153,0,0
216,<leaf>,13,13,6.92307692308,5.07692307692,0.0,0,0
217,<leaf>,13,13,3.69230769231,5.84615384615,0.0,0,0
109,citric.acid,25,25,12.96,6.04,0.00455369436469,0,0
218,<leaf>,15,15,5.33333333333,5.66666666667,0.0,0,0
219,<leaf>,10,10,2.4,6.6,0.0,0,0
55,pH,65,65,24.2153846154,6.32307692308,0.00266035339702,0,0
110,alcohol,30,30,8.7,6.1,0.00129538016181,0,0
220,<leaf>,10,10,3.6,5.8,0.0,0,0
221,residual.sugar,20,20,3.75,6.25,0.000593655330421,0,0
442,<leaf>,11,11,0.909090909091,6.09090909091,0.0,0,0
443,<leaf>,9,9,2.22222222222,6.44444444444,0.0,0,0
111,residual.sugar,35,35,12.7428571429,6.51428571429,0.00234757510022,0,0
222,pH,27,27,10.2962962963,6.37037037037,0.00157211324236,0,0
444,<leaf>,19,19,7.15789473684,6.21052631579,0.0,0,0
445,<leaf>,8,8,1.5,6.75,0.0,0,0
223,<leaf>,8,8,0.0,7.0,0.0,0,0
7,alcohol,344,344,184.555232558,6.33430232558,0.0223427797029,0,0
14,volatile.acidity,206,206,101.966019417,6.1213592233,0.010159087788,0,0
28,chlorides,111,111,37.4234234234,5.92792792793,0.00326168253121,0,0
56,alcohol,23,23,13.4782608696,5.60869565217,0.00326168253121,0,0
112,<leaf>,11,11,3.63636363636,5.18181818182,0.0,0,0
113,<leaf>,12,12,6.0,6.0,0.0,0,0
57,total.sulfur.dioxide,88,88,20.9886363636,6.01136363636,0.00248600115481,0,0
114,<leaf>,7,7,1.71428571429,5.42857142857,0.0,0,0
115,pH,81,81,16.6913580247,6.06172839506,0.00248600115481,0,0
230,sulphates,36,36,4.75,5.91666666667,0.00133228557952,0,0
460,<leaf>,10,10,2.4,5.6,0.0,0,0
461,volatile.acidity,26,26,0.961538461538,6.03846153846,0.000100171848084,0,0
922,<leaf>,19,19,0.0,6.0,0.0,0,0
923,<leaf>,7,7,0.857142857143,6.14285714286,0.0,0,0
231,density,45,45,10.5777777778,6.17777777778,0.00248600115481,0,0
462,volatile.acidity,38,38,5.89473684211,6.05263157895,0.000891624175365,0,0
924,volatile.acidity,29,29,2.96551724138,5.96551724138,0.000441352031858,0,0
1848,<leaf>,9,9,1.55555555556,5.77777777778,0.0,0,0
1849,sulphates,20,20,0.95,6.05,8.91002227698e-05,0,0
3698,<leaf>,13,13,0.0,6.0,0.0,0,0
3699,<leaf>,7,7,0.857142857143,6.14285714286,0.0,0,0
925,<leaf>,9,9,2.0,6.33333333333,0.0,0,0
463,<leaf>,7,7,0.857142857143,6.85714285714,0.0,0,0
29,pH,95,95,55.5368421053,6.34736842105,0.010159087788,0,0
58,total.sulfur.dioxide,59,59,29.7288135593,6.06779661017,0.00405637550726,0,0
116,<leaf>,17,17,9.88235294118,5.64705882353,0.0,0,0
117,sulphates,42,42,15.619047619,6.2380952381,0.00292431500373,0,0
234,<leaf>,14,14,3.71428571429,5.85714285714,0.0,0,0
235,pH,28,28,8.85714285714,6.42857142857,0.00292431500373,0,0
470,residual.sugar,21,21,5.80952380952,6.2380952381,0.00111946433736,0,0
940,<leaf>,14,14,2.92857142857,6.07142857143,0.0,0,0
941,<leaf>,7,7,1.71428571429,6.57142857143,0.0,0,0
471,<leaf>,7,7,0.0,7.0,0.0,0,0
59,pH,36,36,13.6388888889,6.80555555556,0.00261047250308,0,0
118,fixed.acidity,29,29,10.2068965517,6.68965517241,0.00261047250308,0,0
236,<leaf>,13,13,2.76923076923,6.30769230769,0.0,0,0
237,<leaf>,16,16,4.0,7.0,0.0,0,0
119,<leaf>,7,7,1.42857142857,7.28571428571,0.0,0,0
15,fixed.acidity,138,138,59.3043478261,6.65217391304,0.00447236758619,0,0
30,<leaf>,7,7,2.85714285714,5.85714285714,0.0,0,0
31,sulphates,131,131,51.786259542,6.69465648855,0.00409363960496,0,0
62,total.sulfur.dioxide,21,21,4.28571428571,6.28571428571,0.00328985437919,0,0
124,<leaf>,14,14,0.0,6.0,0.0,0,0
125,<leaf>,7,7,0.857142857143,6.85714285714,0.0,0,0
63,alcohol,110,110,43.3181818182,6.77272727273,0.00409363960496,0,0
126,pH,69,69,22.2028985507,6.6231884058,0.00409363960496,0,0
252,total.sulfur.dioxide,21,21,5.80952380952,6.2380952381,0.00228462109666,0,0
504,<leaf>,14,14,2.0,6.0,0.0,0,0
505,<leaf>,7,7,1.42857142857,6.71428571429,0.0,0,0
253,alcohol,48,48,11.9166666667,6.79166666667,0.00112060664791,0,0
506,residual.sugar,27,27,6.0,6.66666666667,0.00112060664791,0,0
1012,<leaf>,7,7,1.42857142857,6.28571428571,0.0,0,0
1013,sulphates,20,20,3.2,6.8,0.000938217730363,0,0
2026,<leaf>,9,9,2.22222222222,6.55555555556,0.0,0,0
2027,<leaf>,11,11,0.0,7.0,0.0,0,0
507,volatile.acidity,21,21,4.95238095238,6.95238095238,0.000571155274166,0,0
1014,<leaf>,7,7,1.42857142857,6.71428571429,0.0,0,0
1015,<leaf>,14,14,2.92857142857,7.07142857143,0.0,0,0
127,citric.acid,41,41,16.9756097561,7.0243902439,0.00166184059686,0,0
254,<leaf>,7,7,1.71428571429,6.57142857143,0.0,0,0
255,density,34,34,13.5294117647,7.11764705882,0.00146753308092,0,0
510,volatile.acidity,26,26,10.0,7.0,0.00146753308092,0,0
1020,<leaf>,9,9,6.0,6.66666666667,0.0,0,0
1021,<leaf>,17,17,2.47058823529,7.17647058824,0.0,0,0
511,<leaf>,8,8,2.0,7.5,0.0,0,0
