name,count,ncat,improve,index,adj
citric.acid,25,1,0.40329218107,0.395,0
pH,65,1,0.114494463605,3.275,0
alcohol,30,-1,0.155172413793,12.05,0
residual.sugar,20,1,0.164983164983,2.05,0
residual.sugar,35,-1,0.191994685268,3.9,0
pH,27,-1,0.159125331314,3.24,0
alcohol,344,-1,0.126167462129,11.55,0
volatile.acidity,206,1,0.0883211283547,0.395,0
chlorides,111,1,0.07900202386,0.0945,0
alcohol,23,-1,0.28504398827,11.15,0
total.sulfur.dioxide,88,1,0.123066243081,65.0,0
pH,81,-1,0.0816937869822,3.32,0
sulphates,36,1,0.292307692308,0.795,0
volatile.acidity,26,1,0.108571428571,0.445,0
density,45,-1,0.361692045239,0.99728,0
volatile.acidity,38,1,0.15763546798,0.485,0
volatile.acidity,29,1,0.155103359173,0.625,0
sulphates,20,1,0.0977443609023,0.755,0
pH,95,1,0.219118322104,3.255,0
total.sulfur.dioxide,59,1,0.14219918298,56.5,0
sulphates,42,-1,0.19512195122,0.735,0
pH,28,-1,0.344086021505,3.39,0
residual.sugar,21,-1,0.200819672131,2.55,0
pH,36,-1,0.146890331384,3.225,0
fixed.acidity,29,-1,0.336798336798,10.45,0
fixed.acidity,138,1,0.0785936545602,12.2,0
sulphates,131,-1,0.0807620298334,0.685,0
total.sulfur.dioxide,21,1,0.8,17.5,0
alcohol,110,-1,0.0955643412906,12.45,0
pH,69,1,0.201627191347,3.365,0
total.sulfur.dioxide,21,1,0.409836065574,34.5,0
alcohol,48,1,0.0809190809191,11.85,0
residual.sugar,27,-1,0.228571428571,2.15,0
sulphates,20,-1,0.305555555556,0.785,0
volatile.acidity,21,1,0.120192307692,0.475,0
citric.acid,41,-1,0.102023568048,0.02,0
density,34,1,0.113043478261,0.99285,0
volatile.acidity,26,1,0.152941176471,0.42,0
